,Iteration,Explained Variance,MSE,R2,repetition
0,0,0.46444016695022583,0.12174848,0.46318517551827987,0
1,1,0.4596458077430725,0.127579,0.43747720818011326,0
2,2,0.4496474266052246,0.12525403,0.4477284246410459,0
3,3,0.4764825105667114,0.11992473,0.4712264758136213,0
4,4,0.4833066463470459,0.121464476,0.4644373333853097,0
5,5,0.4714789390563965,0.11995819,0.47107895911888165,0
6,6,0.4854506850242615,0.118400805,0.4779458210910563,0
7,7,0.4911498427391052,0.11541587,0.49110702512279847,0
8,8,0.49553126096725464,0.11441499,0.4955200493632236,0
9,9,0.4946463704109192,0.11722446,0.48313254220520574,0
10,10,0.4920387268066406,0.11703274,0.4839778576211795,0
0,0,0.5080406665802002,0.111682005,0.5075703537664928,1
1,1,0.4820271134376526,0.11950354,0.47308362800283643,1
2,2,0.506933331489563,0.1129645,0.5019155978042055,1
3,3,0.5262295007705688,0.10873704,0.5205554073621192,1
4,4,0.528188943862915,0.11140203,0.5088048287133711,1
5,5,0.5378249287605286,0.1050194,0.5369472381849596,1
6,6,0.5294513702392578,0.120489866,0.4687346742065981,1
7,7,0.5044728517532349,0.112519406,0.5038780767476889,1
8,8,0.4598982334136963,0.13094318,0.42264377777440365,1
9,9,0.5527130365371704,0.102096744,0.5498338582051456,1
10,10,0.5179290175437927,0.10939182,0.5176682901011864,1
0,0,0.5153579711914062,0.12379213,0.45417429588762104,2
1,1,0.48621392250061035,0.11837556,0.47805708617670506,2
2,2,0.44248485565185547,0.13343054,0.41167652844291036,2
3,3,0.4791356921195984,0.12103369,0.4663368157634805,2
4,4,0.460590660572052,0.13096334,0.42255489594602424,2
5,5,0.478410005569458,0.11885245,0.4759543196499041,2
6,6,0.48435574769973755,0.12424735,0.452167126448084,2
7,7,0.49166184663772583,0.12417394,0.4524908349821948,2
8,8,0.4663616418838501,0.121072605,0.46616520308795073,2
9,9,0.4832981824874878,0.119686864,0.4722752368053815,2
10,10,0.49893277883529663,0.113658376,0.4988561441938689,2
0,0,0.5175154209136963,0.11562005,0.49020677914743793,3
1,1,0.5092357397079468,0.11299661,0.501774032761106,3
2,2,0.514042854309082,0.11364668,0.49890770930688944,3
3,3,0.46466678380966187,0.1264009,0.4426716753601465,3
4,4,0.47553467750549316,0.12056417,0.46840703752529433,3
5,5,0.5345613956451416,0.10565757,0.5341334171071495,3
6,6,0.5271921157836914,0.10762106,0.5254759552435325,3
7,7,0.5239388942718506,0.11247837,0.5040590661074481,3
8,8,0.5177072286605835,0.109438926,0.5174605818734617,3
9,9,0.5067393779754639,0.11220353,0.505270871688069,3
10,10,0.52849280834198,0.10699647,0.5282298914084811,3
0,0,0.48287415504455566,0.117355265,0.4825557895051966,4
1,1,0.4639700651168823,0.12241392,0.4602511117492978,4
2,2,0.45838797092437744,0.14095992,0.3784779221189565,4
3,3,0.48000848293304443,0.13603456,0.40019475850129393,4
4,4,0.48946189880371094,0.11662587,0.48577188557340056,4
5,5,0.49611181020736694,0.11434982,0.4958074474477646,4
6,6,0.4900878071784973,0.11823003,0.4786988130356592,4
7,7,0.4817432165145874,0.119316384,0.47390877299952805,4
8,8,0.49060875177383423,0.118542776,0.47731979445384176,4
9,9,0.4854361414909363,0.12117307,0.4657222784391013,4
10,10,0.47385281324386597,0.13109401,0.42197874329533325,4
